feature,importance_mean,importance_std
longitude,0.017054263565891504,0.010429165927964137
latitude,0.01511627906976747,0.007030370987293445
month_sin,0.008139534883720944,0.005038759689922489
confidence,0.006976744186046524,0.005954376548735366
hour,0.0065891472868217175,0.004602458173270519
hour_sin,0.00620155038759691,0.003100775193798455
bright_t31,0.005813953488372103,0.0049787723173120736
hour_cos,0.003488372093023262,0.0011627906976744208
daynight_D,0.003100775193798455,0.0015503875968992276
brightness_delta_prev,0.0019379844961240345,0.004978772317312074
brightness,0.0007751937984496138,0.00961990205115572
dayofyear,0.0003875968992248069,0.0011627906976744208
month,0.0003875968992248069,0.0011627906976744208
month_cos,0.0003875968992248069,0.0011627906976744208
is_day,0.0,0.0
local_density,-0.0003875968992248069,0.007030370987293443
t31_delta_prev,-0.0003875968992248069,0.0044022545316281265
